,target,clean_text
0,ham,go jurong point crazi avail bugi n great world la e buffet cine got amor wat 
1,ham,ok lar joke wif u oni 
2,spam,free entri 2 wkli comp win fa cup final tkt 21st may 2005 text fa 87121 receiv entri questionstd txt ratetc appli 08452810075over18 
3,ham,u dun say earli hor u c alreadi say 
4,ham,nah dont think goe usf live around though 
5,spam,freemsg hey darl 3 week word back id like fun still tb ok xxx std chg send �150 rcv 
6,ham,even brother like speak treat like aid patent 
7,ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun 
8,spam,winner valu network custom select receivea �900 prize reward claim call 09061701461 claim code kl341 valid 12 hour 
9,spam,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030 
10,ham,im gonna home soon dont want talk stuff anymor tonight k ive cri enough today 
11,spam,six chanc win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6day 16 tsandc appli repli hl 4 info 
12,spam,urgent 1 week free membership �100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18 
13,ham,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time 
14,ham,date sunday 
15,spam,xxxmobilemovieclub use credit click wap link next txt messag click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl 
16,ham,oh kim watch 
17,ham,eh u rememb 2 spell name ye v naughti make v wet 
18,ham,fine that�� way u feel that�� way gota b 
19,spam,england v macedonia dont miss goalsteam news txt ur nation team 87077 eg england 87077 trywal scotland 4txt̼120 poboxox36504w45wq 16 
20,ham,serious spell name 
21,ham,i���m go tri 2 month ha ha joke 
22,ham,� pay first lar da stock comin 
23,ham,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi 
24,ham,ffffffffff alright way meet sooner 
25,ham,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol 
26,ham,lol alway convinc 
27,ham,catch bu fri egg make tea eat mom left dinner feel love 
28,ham,im back amp pack car ill let know there room 
29,ham,ahhh work vagu rememb feel like lol 
30,ham,wait that still clear sure sarcast that x doesnt want live us 
31,ham,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wont go badli cheer 
32,ham,k tell anyth 
33,ham,fear faint housework quick cuppa 
